# Extracted packages (≤ 50 MB)
# Format: disc/package_name  compressed_size_MB  status

2/libdevel-callchecker-perl  0  extracted
2/libdevel-stacktrace-perl  0  extracted
2/libdevel-symdump-perl  0  extracted
2/libdigest-bubblebabble-perl  0  extracted
2/libdigest-hmac-perl  0  extracted
2/libdrm  .4  extracted
2/libdv  .5  extracted
2/libdynaloader-functions-perl  0  extracted
2/libedit  .5  extracted
2/libemail-date-format-perl  0  extracted
2/libencode-locale-perl  0  extracted
2/libepoxy  .3  extracted
2/liberror-perl  0  extracted
2/libevdev  .3  extracted
2/libevent  1.0  extracted
2/libexception-class-perl  0  extracted
2/libexif  1.1  extracted
2/libexporter-tiny-perl  0  extracted
2/libexttextcat  1.0  extracted
2/libextutils-depends-perl  0  extracted
2/libfcgi  .2  extracted
2/libffi  1.2  extracted
2/libfido2  .6  extracted
2/libfile-basedir-perl  0  extracted
2/libfile-chdir-perl  0  extracted
2/libfile-desktopentry-perl  0  extracted
2/libfile-dirlist-perl  0  extracted
2/libfile-find-rule-perl  0  extracted
2/libfile-homedir-perl  0  extracted
2/libfile-listing-perl  0  extracted
2/libfile-mimeinfo-perl  0  extracted
2/libfile-slurper-perl  0  extracted
2/libfile-touch-perl  0  extracted
